model,accuracy,balanced_accuracy,ece,overconfident_error_rate,semantic_collapse_rate,high_confidence_disagreement_rate,hallucination_rate
amazon_nova-2-lite-v1,0.505,0.944,0.415,0.495,0.485,0.475,0
perplexity_sonar,0.574,0.943,0.359,0.416,0.406,0.396,0.02
z-ai_glm-4.7,0.545,0.941,0.413,0.436,0.426,0.426,0
meta-llama_llama-3.3-70b-instruct,0.564,0.963,0.348,0.426,0.426,0.416,0.01
meta-llama_llama-3.1-8b-instruct,0.475,0.821,0.507,0.525,0.465,0.505,0
qwen_qwen3-max,0.604,0.966,0.337,0.396,0.396,0.376,0
google_gemini-3-flash,0.673,0.952,0.275,0.327,0.317,0.317,0
anthropic_claude-opus-4.5,0.594,0.965,0.204,0.149,0.149,0.149,0.109
google_gemini-2.5-pro,0.624,0.968,0.351,0.376,0.376,0.356,0
deepseek_deepseek-r1,0.594,0.965,0.266,0.307,0.307,0.297,0
mistralai_mistral-nemo,0.455,0.82,0.538,0.545,0.475,0.515,0
z-ai_glm-4.6,0.525,0.939,0.414,0.475,0.465,0.455,0
anthropic_claude-haiku-4.5,0.554,0.962,0.337,0.436,0.436,0.416,0.01
ai21_jamba-large-1.7,0.515,0.925,0.452,0.485,0.465,0.465,0
openai_gpt-5.2,0.554,0.962,0.26,0.198,0.198,0.188,0
sarvam_sarvam-m,0.515,0.898,0.468,0.485,0.465,0.455,0
anthropic_claude-sonnet-4.5,0.624,0.968,0.261,0.317,0.317,0.307,0.01
z-ai_glm-4.7-flash,0.465,0.813,0.503,0.515,0.475,0.495,0
meta-llama_llama-4-scout,0.525,0.885,0.336,0.376,0.356,0.366,0
deepseek_deepseek-v3.2,0.604,0.966,0.302,0.386,0.386,0.366,0
meta-llama_llama-4-maverick,0.525,0.926,0.364,0.465,0.446,0.446,0
amazon_nova-premier-v1,0.535,0.96,0.402,0.465,0.465,0.446,0
openai_gpt-4o,0.545,0.961,0.357,0.446,0.446,0.426,0
moonshotai_kimi-k2-thinking,0.624,0.968,0.301,0.307,0.307,0.287,0
google_gemini-2.5-flash,0.535,0.94,0.454,0.465,0.455,0.446,0
mistralai_mistral-large-2512,0.604,0.966,0.376,0.396,0.396,0.386,0
z-ai_glm-4.6v-flash,0.495,0.924,0.438,0.505,0.485,0.485,0
x-ai_grok-4.1-fast,0.604,0.946,0.309,0.327,0.317,0.317,0
openai_gpt-5-mini,0.535,0.96,0.403,0.455,0.455,0.436,0
